idiom,lang,meaning
麒麟児,jp,
切る手遅かれ,jp,
岐路に立つ,jp,
機を逸する,jp,
軌を一にす,jp,
気を入れる,jp,
気を失う,jp,
気を落とす,jp,
気を利かせる,jp,
気を配る,jp,
気を静める,jp,
気を確かに持つ,jp,
気を使う,jp,
気を遣う,jp,
気を付ける,jp,
奇を衒う,jp,
気を取られる,jp,
気を取り直す,jp,
気を抜く,jp,
気を呑まれる,jp,
気を吐く,jp,
気を引く,jp,
気を回す,jp,
木を見て森を見ない,jp,
機を見るに敏,jp,
気を持たせる,jp,
気を揉む,jp,
気を許す,jp,
気を悪くする,jp,
槿花一日の栄,jp,
金魚の糞,jp,
金銀は回り持ち,jp,
琴瑟相和す,jp,
金字塔,jp,
錦上、花を添える,jp,
金石の交わり,jp,
琴線に触れる,jp,
金銭は他人,jp,
禁断の木の実,jp,
金的を射落とす,jp,
金時の火事見舞い,jp,
金の卵を産む鵞鳥を殺すな,jp,
勤勉は成功の母,jp,
金蘭の契り,jp,
苦あれば楽あり,jp,
苦あれば楽あり、楽あれば苦あり,jp,
株を守りて兎を待つ,jp,
食い足りない,jp,
食い溜め寝溜めは何にもならぬ,jp,
食い付き馬に乗ったよう,jp,
食いつく犬は吠えつかぬ,jp,
食い物と念仏は一口ずつ,jp,
食うか食われるか,jp,
空谷の跫音,jp,
食うことは今日食い、言うことは明日言え,jp,
食うた餅より心持ち,jp,
食うに倒れず病むに倒れる,jp,
空腹は最上のソース,jp,
食うや食わず,jp,
食えない,jp,
釘の裏を返す,jp,
釘を刺す,jp,
臭い飯を食う,jp,
臭い物に蓋をする,jp,
臭いもの身知らず,jp,
草木も靡く,jp,
草木も眠る,jp,
草木も眠る丑三つ時,jp,
腐っても鯛,jp,
楔を打ち込む,jp,
腐れ縁は離れず,jp,
草を打って蛇を驚かす,jp,
櫛の歯が欠けたよう,jp,
櫛の歯を挽く,jp,
九尺二間に戸が一枚,jp,
孔子の倒れ,jp,
薬師は人を殺せど薬人を殺さず,jp,
楠の木分限、梅の木分限,jp,
薬が効く,jp,
薬になる,jp,
薬は毒ほど効かぬ,jp,
薬は身の毒,jp,
薬人を殺さず、薬師人を殺す,jp,
薬も過ぎれば毒となる,jp,
薬より養生,jp,
苦する良かろう楽する悪かろう,jp,
糞食らえ,jp,
糞も味噌も一緒,jp,
糞を食らえ,jp,
管の穴から天を覗く,jp,
管を巻く,jp,
管を以て天を窺う,jp,
件の如し,jp,
口あれば京に上る,jp,
口裏を合わせる,jp,
口数が多い,jp,
口から先に生まれる,jp,
口から出れば世間,jp,
口が動けば手が止む,jp,
口が多い,jp,
口が奢る,jp,
口が重い,jp,
口が掛かる,jp,
口が堅い,jp,
口が軽い,jp,
口が腐っても,jp,
口が肥える,jp,
口が裂けても,jp,
口が寂しい,jp,
口が過ぎる,jp,
口が干上がる,jp,
口が減らない,jp,
口が曲がる,jp,
口が回る,jp,
口が悪い,jp,
朽ち木は柱にならぬ,jp,
口車に乗せる,jp,
口先の裃,jp,
口自慢の仕事下手,jp,
口添えをする,jp,
口叩きの手足らず,jp,
口では大阪の城も建つ,jp,
口と財布は締めるが得,jp,
口に合う,jp,
口にする,jp,
口に出す,jp,
口に上る,jp,
口には関所がない,jp,
口に針,jp,
口に任せる,jp,
口に蜜あり、腹に剣あり,jp,
口の下から,jp,
口の端に掛かる,jp,
口の端に上る,jp,
口は口、心は心,jp,
口は重宝,jp,
口八丁手八丁,jp,
口は閉じておけ、目は開けておけ,jp,
口は禍の門,jp,
嘴が黄色い,jp,
唇滅びて歯寒し,jp,
唇を反す,jp,
唇を翻す,jp,
口火を切る,jp,
口弁慶,jp,
口も八丁、手も八丁,jp,
口を合わせる,jp,
口を入れる,jp,
口を掛ける,jp,
口を切る,jp,
口を極めて,jp,
口を添える,jp,
口を揃える,jp,
口を出す,jp,
口を噤む,jp,
口を閉ざす,jp,
口を濁す,jp,
口を拭う,jp,
口を濡らす,jp,
口を糊する,jp,
口を挟む,jp,
口を開く,jp,
口を封じる,jp,
口を割る,jp,
食ってすぐ寝ると牛になる,jp,
轡の音にも目を覚ます,jp,
靴を隔てて痒きを搔く,jp,
苦肉の策,jp,
国に盗人、家に鼠,jp,
国乱れて忠臣見る,jp,
国破れて山河在り,jp,
苦杯を嘗める,jp,
苦は楽の種,jp,
首が危ない,jp,
首が飛ぶ,jp,
首が回らない,jp,
首縊りの足を引く,jp,
首にする,jp,
首になる,jp,
首の皮一枚,jp,
首振り三年、ころ八年,jp,
首を切る,jp,
首を縦に振る,jp,
首を突っ込む,jp,
首を長くする,jp,
首を振る,jp,
首を横に振る,jp,
窪い所に水溜まる,jp,
雲衝く,jp,
苦もなく,jp,
雲に梯,jp,
蜘蛛の子を散らすよう,jp,
雲行きが怪しい,jp,
雲を霞,jp,
雲を摑む,jp,
雲を衝く,jp,
供養より施行,jp,
位人臣を極める,jp,
食らえどもその味わいを知らず,jp,
鞍掛け馬の稽古,jp,
暗がりから牛,jp,
暗がりの渋面,jp,
水母の風向かい,jp,
水母の行列,jp,
暗闇の鉄砲,jp,
苦しい時には親を出せ,jp,
苦しい時の神頼み,jp,
車の両輪,jp,
車は海へ舟は山,jp,
来る者は拒まず,jp,
紅は園生に植えても隠れなし,jp,
暮れぬ先の提灯,jp,
玄人はだし,jp,
食わず嫌い,jp,
食わず貧楽高枕,jp,
食わせておいて扨と言い,jp,
食わぬ殺生,jp,
食わぬ飯が髭に付く,jp,
鍬を担げた乞食は来ない,jp,
句を作るより田を作れ,jp,
君子、危うきに近寄らず,jp,
君子に三戒あり,jp,
君子に三楽あり,jp,
君子の過ちは日月の食のごとし,jp,
君子の三楽,jp,
君子の交わりは淡きこと水のごとし,jp,
君子は憂えず懼れず,jp,
君子は器にならず,jp,
君子は独りを慎む,jp,
君子は豹変す,jp,
君子は庖厨を遠ざく,jp,
君子は交わり絶ゆとも悪声を出さず,jp,
君子は和して同ぜず、小人は同じて和せず,jp,
葷酒、山門に入るを許さず,jp,
薫は香を以て自ら焼く,jp,
君臨すれども統治せず,jp,
形影相同じ,jp,
形影相弔う,jp,
形影相伴う,jp,
敬遠,jp,
圭角が取れる,jp,
挂冠,jp,
傾蓋、旧の如し,jp,
謦咳に接する,jp,
荊棘の道,jp,
景気を付ける,jp,
鶏群の一鶴,jp,
経験は愚か者の師,jp,
経験は知恵の父記憶の母,jp,
鶏口となるも牛後となるなかれ,jp,
傾国,jp,
荊妻,jp,
計算高い,jp,
敬して遠ざく,jp,
閨秀,jp,
傾城,jp,
蛍雪,jp,
蛍雪の功,jp,
継続は力なり,jp,
兄たり難く、弟たり難し,jp,
啓蟄,jp,
径庭,jp,
兄弟牆に鬩げども外その務りを禦ぐ,jp,
桂馬の高上がり,jp,
毛色の変わった,jp,
怪我と弁当は自分持ち,jp,
怪我の功名,jp,
けじめを付ける,jp,
桁が違う,jp,
桁が外れる,jp,
けちを付ける,jp,
けちん坊の柿の種,jp,
決河の勢い,jp,
結構毛だらけ,jp,
結構は阿呆のうち,jp,
血相を変える,jp,
穴隙を鑽る,jp,
血涙を絞る,jp,
血路を開く,jp,
決を採る,jp,
尻を捲る,jp,
褻にも晴れにも歌一首,jp,
毛のない猿,jp,
螻蛄才,jp,
螻蛄の水渡り,jp,
けりが付く,jp,
けりを付ける,jp,
蹴る馬も乗り手次第,jp,
毛を吹いて疵を求む,jp,
毛を見て馬を相す,jp,
犬猿の仲,jp,
喧嘩過ぎての空威張り,jp,
喧嘩過ぎての棒乳切り,jp,
喧嘩過ぎての棒千切り,jp,
喧嘩は降り物,jp,
喧嘩両成敗,jp,
喧嘩を売る,jp,
懸河の弁,jp,
健康は富に勝る,jp,
賢者ひだるし、伊達寒し,jp,
献上の鴨,jp,
健全なる精神は健全なる身体に宿る,jp,
軒輊,jp,
見当を付ける,jp,
犬兎の争い,jp,
犬馬の心,jp,
犬馬の養い,jp,
犬馬の齢,jp,
犬馬の労,jp,
堅白同異の弁,jp,
けんもほろろ,jp,
倹約と吝嗇は水仙と葱,jp,
権輿,jp,
姸を競う,jp,
aasinsilta,fi,A tenuous connection between an old discussion topic and a new one.
aataminaikainen,fi,"(Of an object) very old, old-fashioned"
lähtee vetään,fi,To leave immediately. Pull off.
auki,fi,"Without money, broke, to owe money"
aukoa päätään,fi,To speak provocatively to someone.
ei hätä ole tämän näköinen,fi,Don't worry. We'll make through this (in a distress/stressful situation)
ei kauan nokka tuhissut,fi,Something happened or was over very quickly.
ei ole kaikki muumit laaksossa,fi,Person is not too bright / has mental issues
ei ole kaikki intiaanit kanootissa,fi,Person is not too bright / has mental issues
ei olla jäniksen selässä,fi,Not to be in an immediate hurry.
ei olla suu tuohesta,fi,Not to abstain from food or drink (always used with a negative).
ei sylkeä lasiin,fi,Not to abstain from alcohol (always used with a negative).
eilisen teeren poika,fi,"Inexperienced, gullible (usually used with a negative, ""nobody's fool"")"
ei nähdä metsää puilta,fi,"To stick to details, failing to see from a wider perspective"
elää kuin pellossa,fi,"To live without cleaning up after oneself, or bothering about what others think about one."
en minä voi siksi muuttua,fi,"A statement that a desired object simply isn't available, no matter how much someone keeps asking for it. The word ""siksi"" (into that) is substituted with the object in question, in translative ""-ksi""."
heittämällä,fi,With little or no effort required.
heittää lusikka nurkkaan,fi,To die or to give up.
heittää veivinsä,fi,To die.
hevoset karkaa,fi,"A euphemism for ""your fly is open""."
hoo moilasena,fi,"Shocked, mouth agape, utterly unprepared, never heard"
"huitsin Nevadaan
hevon kuuseen",fi,"Away, to an unknown place, never to be seen again. While the name Nevada is an obvious reference to the U.S. state, ""huitsin"" probably refers to Hiisi."
hymyillä kuin Hangon keksi,fi,To smile very broadly and happily.
hyppiä seinille,fi,To act alarmedly; to panic.
ihmisten ilmoilla,fi,"At a place popular or populated enough to earn one's respect. Can also be used more literally, to mean at a place where one can be rescued."
irtoaa kuin mummon hammas,fi,"Goes very, very easily."
itsepintaisesti,fi,insistently.
jo alkaa Lyyti kirjoittaa,fi,Something is finally succeeding and one can proceed.
"joka kumartaa yhdelle, pyllistää toisille",fi,"If you favour one, you'll discriminate the others."
joko teet tai itket ja teet,fi,"A direct order to do something, whether the addressed wants to do it or not. The word ""teet"" ('you do') can be substituted with whatever verb is necessary from context."
juopon napit,fi,When someone buttons up his/her shirt wrong.
Jumalan selän takana,fi,"Possibly a calque from the English phrase ""a godforsaken place"". Sometimes implies a disrespect of rural communities."
juosta pää kolmantena jalkana,fi,To be in a great hurry
juosten kustu,fi,Haphazardly implemented.
järki jäässä,fi,Being clueless about something or understanding the point slowly.
kaidalla polulla,fi,To live within the law (possible Biblical metaphor).
kaksipa päätä makkarassa,fi,"Two sides of a thing, cf. ""two sides of a coin"""
kallella kypärin,fi,Downhearted
kana kynittävänä,fi,"To have unresolved disputes, cf. English ""bone to pick"""
Kankkulan kaivoon,fi,To go to waste.
kestää ikä ja terveys,fi,"To take a far too long time, or be of far too much effort."
keskellä ei-mitään,fi,"Calque from English — natively korvessa Cf. English ""In the middle of bumfuck Egypt"""
kiertää kuin kissa kuumaa puuroa,fi,"To constantly and obviously covet something without actually making a move to get it, or to try to approach a difficult topic of speech in a roundabout way."
kiven alla,fi,Difficult to obtain
koira haudattuna,fi,"An implication that there's something foul behind the scenes, the situation is not what it appears to be."
"konstit on monet (, sanoi akka, kun kissalla pöytää pyyhki)",fi,"There's more than one way to do something. Often used when it becomes necessary to resort to unconventional methods. (cf. ""there is more than one way to skin a cat."")"
korjata luunsa,fi,To finally get around to leaving.
korvessa,fi,"A place that is somewhere in an area with no interesting things surrounding it, to be ""out in the sticks""."
"kuin allit kalliolla (also misheard ""nallit"")",fi,"Left by oneself, without outside support."
kuin kaksi marjaa,fi,Two people or things that seem extremely alike; two peas in a pod.
kuin kala ilman polkupyörää,fi,"Perfectly well in its own right; for example ""a woman without a husband is like a fish without a bicycle""."
kuin seipään niellyt,fi,Standing unnaturally or needlessly upright. To be turgid and bumptious. To be seemingly nervous.
kuin sitruunan niellyt,fi,Sulky or (easily) irritated
kuin tervan juontia,fi,"Extremely slow, difficult, or arduous."
kuin täi tervassa,fi,Extremely slow
kuin viilipytty,fi,Very calm.
Kuka kissan hännän nostaa ellei kissa itse?,fi,To toot your own horn or boast about yourself.
kukkona tunkiolla,fi,"Boasting of oneself with cheap merits, being ""king of the hill"" when said hill is for example a garbage pile. It is easy as no one else wants to be the king of a garbage hill."
kylmä kuin ryssällä helvetissä,fi,Old Finnish swearing if it's really cold outside. Like in English: it's cold as hell!
kääntää kelkkansa,fi,To do an about-face/turnabout.
lavealla tiellä,fi,To live outside the law (possible Biblical metaphor).
lukea kuin piru Raamattua,fi,"To deliberately look for loopholes, in order to follow the letter without following the spirit. Note: Based on the Bible (Luke 4:1-13, Matthew 4:1-11 and Psalms 91:11-12). English equivalent: The devil can cite scripture for his purpose. (Shakespeare, The Merchant of Venice act 1, scene 3)"
lähteä kuin hollituvasta,fi,To leave without cleaning up after oneself. (holli from Swedish hålla (to keep) + tupa).
lähteä kuin piru seuroista,fi,To leave extremely fast (also used when an inanimate object is quickly propelled to a great speed)
lähteä kuin telkkä pöntöstä,fi,To leave quickly
lähteä lapasesta,fi,To go out of control.
maksaa itsensä kipeäksi,fi,"to pay very much, leaving oneself with very little money left over."
"Manu on työnsä tehnyt, Manu saa mennä",fi,"An ironic expression, when faced with ingratitude after doing a favor. The name ""manu"" comes from the word for ""master"", like shoemaker-master. In old times these professionals used to tour the countryside practicing their profession."
Matti kukkarossa,fi,"Broke (without money). The Persian for ""dead"" is ""mat"". In Finnish it is pronounced as ""matti"" as in ""Shakki Matti"" (Shah Mat). ""Minulla on matti kukkarossa"" could be translated ""My moneypurse is dead"". In a similar way ""Olen täysin matti"" means ""I am dead tired""."
menneen talven lumia,fi,"Not relevant anymore, often used of past offenses or sorrows, similar in tone to English ""let bygones be bygones""."
mennä pipariksi,fi,"Something goes completely wrong. Could be translated as ""Shatters as gingerbread""."
mennä putkeen,fi,"To succeed, to work as planned."
mennä yli hilseen,fi,To be too difficult for one to comprehend.
miettiä taivaan variksia,fi,To not pay attention to what's going on.
mopo alkaa keulia,fi,Ideas or other actions start to get out of control.
kuin Naantalin aurinko,fi,Of a wide-smile face.
"nalli kalliolla",fi,"This idiom has been misheard as ""nalli kalliolla"" (explosive primer on rock). The original idiom is ""Jäi kuin alli kalliolle"", meaning ""Was left behind, like long-tailed duck"". When migratory birds are leaving in autumn, the long-tailed ducks leaves later than other birds."
nenänvalkaisu,fi,"Sobering up, as in the sense of not drinking alcoholic beverages for a week or a month."
nousta väärällä jalalla,fi,"To be very grumpy first thing in the morning when everything seems to go wrong. Similar to English ""get up on the wrong side of the bed""."
näyttää miten heränneet veisaa,fi,To show someone how to properly do a thing they are attempting to do.
odottaa kun kuuta nousevaa,fi,"To wait for something very anxiously, to the point of desperation."
oikaista koipensa,fi,To die.
ojasta allikkoon,fi,"out of the frying pan into the fire, from one bad situation to another"
oksat pois,fi,used to describe almost anything (mostly anger) in excessive quantity. also used in conjunction with the subject of immediate action
olla hukassa,fi,"Being lost, missing, in despair, perished."
olla lammas,fi,a person who is like a lamb does nothing alone. the person does everything that for example the clique he/she belongs to.
"olla pää sitä varten, ettei selkäranka valu housuihin",fi,To be helplessly stupid.
olis kirveellä töitä,fi,"Something should be corrected, possibly with quite harsh means."
oma lehmä ojassa,fi,Having a personal interest or investment in the matter.
oppia kantapään kautta,fi,Learn a lesson the hard way
ottaa tilaisuudesta vaari,fi,To take a chance when an opportunity strikes.
panna tikkua ristiin,fi,"To perform even the most minimal effort. Cf. English ""lift a finger"". Nearly always used with a negative."
pata kattilaa soimaa,fi,"Used to claim that a person is guilty of the very thing of which they accuse another. Cf. English ""pot calling kettle black""."
persaukinen,fi,"Without money, broke."
peukalo keskellä kämmentä,fi,"Very bad at doing something, usually manual labour. Cf. English ""All Thumbs""."
pieniin päin,fi,"Pregnant. Cf. English ""with child"""
pihkassa,fi,Having a crush on someone
pilvin pimein,fi,A huge (often excessive) amount of something.
asettua poikkiteloin,fi,To start to object to something. Often used if that something has already been generally agreed on.
Porvoon mitalla,fi,"More than asked for, generously. The Porvoo measure was a standardized measuring cup used by tax men to measure grain."
potkaista tyhjää,fi,"To die. Cf. English ""to kick the bucket"""
pukki kaalimaan vartijana,fi,To leave a task to someone with a conflict of interest.
pukukummitus,fi,"A person who insists on being sharply and formally dressed, but who appears to do little, if any, actual work. Almost always used of men, but sometimes of women too."
puurot ja vellit sekaisin,fi,"Confusing two unrelated things, either for each other, or as relating to each other. Cf. comparing apples and oranges."
rikkana rokassa,fi,"As the bad exception in an otherwise good company. More commonly used in a positive way, c.f. ""every little bit helps""."
